2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1905 item_row=1907 item=Бочка 30л Хейнекен (Златый Базант тип S) total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1905 item_row=1908 item=Бочка 50л тип S total=8
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1905 item_row=1909 item=Замок тип S total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1905 item_row=1910 item=Замок тип А total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1905 item_row=1911 item=Пеногаситель Пегас Evolution total=2
2026-04-28 12:42:43 | INFO | tara_parser | Найден клиент: row=1912 client=Никитин Дмитрий Петрович ИП - Щербатов (Аникина ул, дом № 16) total=15
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1913 item=Бочка 30л тип А Златый Базант/Три Медведя/Остмарк total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1914 item=Бочка 50л тип S total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1915 item=Замок тип S total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1916 item=Замок тип А total=3
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1917 item=Каплесборник total=4
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1918 item=Пеногаситель Пегас Drive DUO total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1919 item=Пеногаситель Пегас Evolution total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1912 item_row=1920 item=Холодильник UBC Icestream ECO " 5 флагов" № 13350001257001 total=1
2026-04-28 12:42:43 | INFO | tara_parser | Найден клиент: row=1921 client=Никитина Елена Витальевна ИП (г.Бердск пересечение Рогачева ул и Пролетарская ул.) total=18
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1922 item=Бочка 30л тип А Златый Базант/Три Медведя/Остмарк total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1923 item=Бочка 50л тип S total=6
2026-04-28 12:42:43 | INFO | tara_parser | Пропуск служебной строки: row=1924 text=Реализация товаров и услуг Бе00-017733 от 28.04.2026 0:00:00
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1925 item=Бочка 50л тип А Высокая total=3
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1926 item=Замок тип D total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1927 item=Замок тип S total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1928 item=Замок тип А total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1929 item=Пеногаситель WINTAP на 2 потока total=2
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1921 item_row=1930 item=Редуктор на 1 выход total=1
2026-04-28 12:42:43 | INFO | tara_parser | Найден клиент: row=1931 client=Нина ООО - Щербатов total=3
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1931 item_row=1932 item=Замок тип S total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1931 item_row=1933 item=Замок тип А total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1931 item_row=1934 item=Пеногаситель Пегас Drive DUO total=1
2026-04-28 12:42:43 | INFO | tara_parser | Найден клиент: row=1935 client=Новиков Д.А. ИП - Ганиев (Верх-Тула с, Кирова ул, дом № 17/1) total=7
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1935 item_row=1936 item=Бочка 50л тип S total=4
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1935 item_row=1937 item=Замок тип S total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1935 item_row=1938 item=пеногаситель пегас Wintap 1 поток металл total=1
2026-04-28 12:42:43 | INFO | tara_parser | Добавлена номенклатура: client_row=1935 item_row=1939 item=Редуктор СО2 на 2 (эдем) total=1
